scope,pair,strategy,leader,follower,n_bars,total_return,annual_return,annual_vol,sharpe,max_drawdown,hit_rate,turnover,n_trades
mega_vs_etf,JNJ/XLV,lead_lag,JNJ,XLV,5078,-0.5617490427534149,-0.2336427236445815,0.1332392290547207,-1.7535580572042007,-0.5946125711439512,0.46438464582508904,5093.0,2570
mega_vs_etf,JNJ/XLV,buy_hold_follower,JNJ,XLV,5078,0.11267387535956463,0.03503919299965097,0.13320310228604854,0.2630508779322996,-0.1882218766180026,0.5105242255758539,0.0,0
mega_vs_etf,GOOGL/XLC,spread_mr,GOOGL,XLC,5078,0.2048936783255355,0.06196808135789511,0.06834183660335455,0.9067371384463703,-0.11248979334584885,0.5291794646774901,176.0,176
mega_vs_etf,GOOGL/XLC,lead_lag,GOOGL,XLC,5078,-0.7183380257459429,-0.3354923804787935,0.16174183070498313,-2.074246217051488,-0.7455081309394436,0.4522583201267829,5195.0,2614
mega_vs_etf,GOOGL/XLC,buy_hold_follower,GOOGL,XLC,5078,0.8216190391092508,0.21343147983853084,0.16256678995816698,1.3128848757698468,-0.18363080510758045,0.5129173290937997,0.0,0
mega_vs_etf,META/XLC,spread_mr,META,XLC,5078,0.2287649378392631,0.06870974598070023,0.05822467875170733,1.180079434593453,-0.04593492162274804,0.49503239740820737,161.0,161
mega_vs_etf,META/XLC,lead_lag,META,XLC,5078,-0.7468879036793425,-0.3580105791946997,0.1625875361986941,-2.2019558667595778,-0.7576437247702859,0.4525504151838671,5121.0,2564
mega_vs_etf,META/XLC,buy_hold_follower,META,XLC,5078,0.8216190391092508,0.21343147983853084,0.16256678995816698,1.3128848757698468,-0.18363080510758045,0.5129173290937997,0.0,0
mega_vs_etf,AMZN/XLY,spread_mr,AMZN,XLY,5078,0.3511847777500714,0.10195633433232776,0.06711068984751951,1.519226438649046,-0.051130662750167755,0.5081417624521073,176.0,176
mega_vs_etf,AMZN/XLY,lead_lag,AMZN,XLY,5078,-0.6980805981339859,-0.32043732304700856,0.20224340239555144,-1.584414221929926,-0.7349956693683012,0.4739027283511269,5061.0,2541
mega_vs_etf,AMZN/XLY,buy_hold_follower,AMZN,XLY,5078,0.42568757469728147,0.12120060135781374,0.20229013058921738,0.5991424347039996,-0.2634567837987565,0.5219376613063331,0.0,0
mega_vs_etf,TSLA/XLY,spread_mr,TSLA,XLY,5078,0.06765421123547166,0.021341092720314814,0.07769972147379299,0.27466112253070124,-0.15247585211547,0.4956217162872154,158.0,158
mega_vs_etf,TSLA/XLY,lead_lag,TSLA,XLY,5078,-0.7958670965056793,-0.4010369080439904,0.2021389335653459,-1.983966675644632,-0.8183353243152258,0.4576672587329781,5263.0,2639
