scope,pair,mr_sharpe,mr_ann_ret,mr_max_dd,mr_hit,mr_trades,ll_sharpe,ll_ann_ret,ll_max_dd,ll_hit,ll_trades,bh_ann_ret,mr_vs_bh,ll_vs_bh
mega_vs_etf,CVX/XLE,0.1814519114609761,0.008434647701532016,-0.05275595437372249,0.4831600831600832,153,-1.653977860687573,-0.35832005478881035,-0.7814376784457187,0.4689723320158103,2622,0.15116610310738587,-0.14273145540585386,-0.5094861578961962
mega_vs_etf,XOM/XLE,0.06647536303070169,0.0028963518382334463,-0.08443644148548424,0.49912663755458514,161,-1.845397255977925,-0.39876845429399976,-0.8069524318262626,0.4732372111396405,2581,0.15116610310738587,-0.14826975126915243,-0.5499345574013856
sector_vs_spy,XLRE/SPY,1.380873870175481,0.08454134972562355,-0.05497230235786743,0.4831756046267087,170,-2.2714795123846767,-0.32620917758197,-0.7213548829726065,0.4415302701636758,2687,0.188763605940393,-0.10422225621476944,-0.514972783522363
sector_vs_spy,XLB/SPY,1.0201199051238554,0.05971771374196333,-0.044099423720915354,0.49717759444203213,158,-2.2445068956167353,-0.32191991030987954,-0.7130486956613264,0.44330506803391834,2631,0.188763605940393,-0.12904589219842966,-0.5106835162502725
sector_vs_spy,XLC/SPY,0.9318837965952689,0.03570734242877638,-0.05022700624478804,0.5072529465095195,170,-2.1195326891332615,-0.30521413879044745,-0.6874130304861972,0.4506209343583678,2597,0.188763605940393,-0.1530562635116166,-0.49397774473084044
sector_vs_spy,XLF/SPY,0.85932396407243,0.037865981002677795,-0.03454144545440918,0.5078125,161,-2.014378190856699,-0.2884077799545791,-0.6781811855514286,0.4540252565114444,2592,0.188763605940393,-0.1508976249377152,-0.4771713858949721
sector_vs_spy,XLK/SPY,0.8578679342688801,0.025288202464546883,-0.035230423209084205,0.5086872586872587,171,-1.9860759935206589,-0.28619950159335605,-0.676076197079992,0.4604926108374384,2530,0.188763605940393,-0.1634754034758461,-0.47496310753374904
sector_vs_spy,XLE/SPY,0.7667165886496472,0.05678793302054563,-0.07849950446534237,0.48626609442060087,164,-2.0386255408616694,-0.2939585718991292,-0.6603113408863817,0.45101517839542676,2562,0.188763605940393,-0.13197567291984735,-0.4827221778395222
sector_vs_spy,XLI/SPY,0.7483313698224755,0.03150905753415789,-0.03318009305350211,0.4899615548910722,177,-2.1138505144485973,-0.3046511340296455,-0.6872863435298129,0.4512123004139562,2581,0.188763605940393,-0.1572545484062351,-0.4934147399700385
sector_vs_spy,XLU/SPY,0.6559281869957815,0.04535838633125078,-0.05801940501308056,0.4850606909430439,157,-2.198996019948378,-0.3163033011241986,-0.7040497230115625,0.44369946756063894,2599,0.188763605940393,-0.1434052196091422,-0.5050669070645916
sector_vs_spy,XLP/SPY,0.6072717946947284,0.03984324931856098,-0.06746342580429476,0.4844524560612889,150,-2.057201730834051,-0.2963004201198365,-0.671429786425942,0.451714623571147,2579,0.188763605940393,-0.148920356621832,-0.48506402606022947
sector_vs_spy,XLV/SPY,0.39129169054462365,0.025279822280845465,-0.06072094185002552,0.5103681760473974,158,-2.0312183674440893,-0.29240789553807,-0.6703242382855926,0.44941826069808716,2543,0.188763605940393,-0.16348378365954752,-0.481171501478463
sector_vs_spy,XLY/SPY,0.09035329462890662,0.0030984000579743487,-0.07562294951487558,0.49724264705882354,154,-2.46758780336382,-0.3543664621075864,-0.7471052472998057,0.45169558359621453,2577,0.188763605940393,-0.18566520588241864,-0.5431300680479794
